metric,type,pos
est_bookvalue_ps,ratio,neut
est_capex,quarterly,neut
est_cashflow_fin,quarterly,num
est_cashflow_invst,quarterly,num
est_cashflow_op,quarterly,num
est_cashflow_ps,ratio,num
est_dividend_ps,ratio,neut
est_ebit,quarterly,num
est_ebitda,quarterly,num
est_eps,ratio,num
est_epsa,ratio,num
est_epsr,ratio,num
est_fcf,quarterly,neut
est_fcf_ps,ratio,neut
est_ffo,quarterly,neut
est_ffoa,quarterly,neut
est_grossincome,quarterly,num
est_netdebt,quarterly,denom
est_netprofit,quarterly,num
est_netprofit_adj,quarterly,num
est_ptp,quarterly,neut
est_ptpr,quarterly,neut
est_rd_expense,quarterly,neut
est_sales,quarterly,num
est_sga,quarterly,neut
est_shequity,ratio,neut
est_tbv_ps,ratio,neut
est_tot_assets,quarterly,num
est_tot_goodwill,quarterly,neut
etz_eps,ratio,num
etz_eps_delta,ratio,neut
etz_eps_ret,ratio,neut
etz_eps_tsrank,ratio,neut
etz_revenue,quarterly,num
etz_revenue_delta,quarterly,neut
etz_revenue_ret,ratio,neut
